job.id n m mu sampling.fun alpha evals max.evals time.passed PD n.maxdegrees n.leafs n.diameters repl type
1 100 4950 2 poisson 0.05 20000 20000 10.324 16 1 2 2 1 euclidean
2 100 4950 2 poisson 0.05 20000 20000 10.65 24 2 1 2 2 euclidean
3 100 4950 2 poisson 0.05 20000 20000 10.282 18 1 2 2 3 euclidean
4 100 4950 2 poisson 0.05 20000 20000 10.903 14 1 2 2 4 euclidean
5 100 4950 2 poisson 0.05 20000 20000 9.302 22 1 2 2 5 euclidean
6 100 4950 2 poisson 0.05 20000 20000 10.117 24 1 2 2 6 euclidean
7 100 4950 2 poisson 0.05 20000 20000 10.061 22 1 1 2 7 euclidean
8 100 4950 2 poisson 0.05 20000 20000 10.915 22 1 2 2 8 euclidean
9 100 4950 2 poisson 0.05 20000 20000 10.923 24 2 2 2 9 euclidean
10 100 4950 2 poisson 0.05 20000 20000 10.337 26 2 2 2 10 euclidean
11 100 4950 2 poisson 0.05 20000 20000 9.482 24 1 1 2 11 euclidean
12 100 4950 2 poisson 0.05 20000 20000 10.421 26 2 2 2 12 euclidean
13 100 4950 2 poisson 0.05 20000 20000 10.368 26 1 2 2 13 euclidean
14 100 4950 2 poisson 0.05 20000 20000 14.329 20 1 2 2 14 euclidean
15 100 4950 2 poisson 0.05 20000 20000 10.05 34 1 1 2 15 euclidean
16 100 4950 2 poisson 0.05 20000 20000 10.627 24 1 2 1 16 euclidean
17 100 4950 2 poisson 0.05 20000 20000 10.609 22 1 2 2 17 euclidean
18 100 4950 2 poisson 0.05 20000 20000 19.719 18 1 2 2 18 euclidean
19 100 4950 2 poisson 0.05 20000 20000 10.314 32 2 1 2 19 euclidean
20 100 4950 2 poisson 0.05 20000 20000 10.521 26 1 1 2 20 euclidean
21 100 4950 2 poisson 0.05 20000 20000 10.406 14 1 2 2 21 euclidean
22 100 4950 2 poisson 0.05 20000 20000 10.523 24 1 2 2 22 euclidean
23 100 4950 2 poisson 0.05 20000 20000 11.134 30 1 2 1 23 euclidean
24 100 4950 2 poisson 0.05 20000 20000 9.127 30 2 2 2 24 euclidean
25 100 4950 2 poisson 0.05 20000 20000 9.4 16 1 2 2 25 euclidean
26 100 4950 2 poisson 0.05 20000 20000 11.354 18 2 2 2 26 euclidean
27 100 4950 2 poisson 0.05 20000 20000 10.185 20 1 2 2 27 euclidean
28 100 4950 2 poisson 0.05 20000 20000 10.257 26 1 2 2 28 euclidean
29 100 4950 2 poisson 0.05 20000 20000 10.28 30 2 2 2 29 euclidean
30 100 4950 2 poisson 0.05 20000 20000 10.131 22 2 2 2 30 euclidean
31 100 4950 2 poisson 0.1 20000 20000 10.658 44 2 2 2 1 euclidean
32 100 4950 2 poisson 0.1 20000 20000 10.517 38 1 2 2 2 euclidean
33 100 4950 2 poisson 0.1 20000 20000 10.486 40 1 2 2 3 euclidean
34 100 4950 2 poisson 0.1 20000 20000 9.213 32 1 2 2 4 euclidean
