job.id n m mu sampling.fun alpha evals max.evals time.passed PD n.maxdegrees n.leafs n.diameters repl
1 50 1225 2 poisson 1 186 5000 0.121 98 2 2 2 1
2 50 1225 2 poisson 1 156 5000 0.114 98 2 2 2 2
3 50 1225 2 poisson 1 132 5000 0.169 98 2 1 2 3
4 50 1225 2 poisson 1 201 5000 0.154 98 1 2 2 4
5 50 1225 2 poisson 1 208 5000 0.236 98 1 2 2 5
6 50 1225 2 poisson 1 160 5000 0.212000000000001 98 2 2 2 6
7 50 1225 2 poisson 1 117 5000 0.0609999999999999 98 2 2 2 7
8 50 1225 2 poisson 1 211 5000 0.161 98 2 2 2 8
9 50 1225 2 poisson 1 194 5000 0.111 98 1 2 2 9
10 50 1225 2 poisson 1 180 5000 0.118 98 1 2 2 10
11 50 1225 2 poisson 1 215 5000 0.12 98 2 2 2 11
12 50 1225 2 poisson 1 275 5000 0.386 98 2 2 2 12
13 50 1225 2 poisson 1 89 5000 0.0570000000000004 98 1 1 2 13
14 50 1225 2 poisson 1 240 5000 0.138 98 2 2 2 14
15 50 1225 2 poisson 1 148 5000 0.0999999999999996 98 2 2 2 15
16 50 1225 2 poisson 1 210 5000 0.153 98 2 2 2 16
17 50 1225 2 poisson 1 284 5000 0.343 98 1 1 2 17
18 50 1225 2 poisson 1 134 5000 0.202999999999999 98 2 2 2 18
19 50 1225 2 poisson 1 283 5000 0.416 98 1 2 2 19
20 50 1225 2 poisson 1 92 5000 0.0750000000000002 98 1 2 2 20
21 50 1225 2 poisson 1 181 5000 0.14 98 2 2 2 21
22 50 1225 2 poisson 1 291 5000 0.399 98 2 2 2 22
23 50 1225 2 poisson 1 136 5000 0.239000000000001 98 2 2 2 23
24 50 1225 2 poisson 1 228 5000 0.154 98 2 2 2 24
25 50 1225 2 poisson 1 243 5000 0.166 98 1 2 1 25
26 50 1225 2 poisson 1 204 5000 0.178 98 1 2 2 26
27 50 1225 2 poisson 1 524 5000 0.427 98 2 2 2 27
28 50 1225 2 poisson 1 80 5000 0.158 98 2 2 2 28
29 50 1225 2 poisson 1 236 5000 0.26 98 1 2 2 29
30 50 1225 2 poisson 1 122 5000 0.0619999999999998 98 1 2 2 30
31 50 1225 2 uniform1 1 525 5000 0.436 98 1 2 2 1
32 50 1225 2 uniform1 1 502 5000 0.454 98 1 2 2 2
33 50 1225 2 uniform1 1 505 5000 0.459 98 2 2 2 3
34 50 1225 2 uniform1 1 356 5000 0.378 98 1 2 2 4
35 50 1225 2 uniform1 1 518 5000 0.441 98 1 2 2 5
36 50 1225 2 uniform1 1 517 5000 0.43 98 2 2 2 6
37 50 1225 2 uniform1 1 343 5000 0.154 98 2 1 2 7
38 50 1225 2 uniform1 1 491 5000 0.422 98 1 2 2 8
39 50 1225 2 uniform1 1 593 5000 0.461 98 2 2 2 9
40 50 1225 2 uniform1 1 810 5000 0.592 98 2 2 2 10
41 50 1225 2 uniform1 1 660 5000 0.487 98 2 1 2 11
42 50 1225 2 uniform1 1 450 5000 0.393 98 2 2 2 12
43 50 1225 2 uniform1 1 642 5000 0.504 98 1 2 2 13
44 50 1225 2 uniform1 1 375 5000 0.353 98 1 2 2 14
45 50 1225 2 uniform1 1 456 5000 0.393000000000001 98 2 2 2 15
46 50 1225 2 uniform1 1 345 5000 0.203 98 2 1 2 16
47 50 1225 2 uniform1 1 942 5000 0.584 98 2 2 2 17
48 50 1225 2 uniform1 1 488 5000 0.388 98 2 1 2 18
49 50 1225 2 uniform1 1 339 5000 0.388 98 1 2 1 19
50 50 1225 2 uniform1 1 523 5000 0.425000000000001 98 1 2 1 20
51 50 1225 2 uniform1 1 272 5000 0.121 98 2 2 2 21
52 50 1225 2 uniform1 1 328 5000 0.374 98 2 1 2 22
53 50 1225 2 uniform1 1 409 5000 0.388999999999999 98 1 2 2 23
54 50 1225 2 uniform1 1 447 5000 0.441 98 2 2 2 24
55 50 1225 2 uniform1 1 636 5000 0.478 98 2 2 2 25
56 50 1225 2 uniform1 1 492 5000 0.434 98 2 2 2 26
57 50 1225 2 uniform1 1 800 5000 1.072 98 2 1 2 27
58 50 1225 2 uniform1 1 284 5000 0.14 98 2 2 2 28
59 50 1225 2 uniform1 1 254 5000 0.138 98 2 2 1 29
60 50 1225 2 uniform1 1 359 5000 0.415 98 2 1 2 30
61 50 1225 2 uniform2 1 343 5000 0.372 98 2 2 2 1
62 50 1225 2 uniform2 1 299 5000 0.346 98 1 1 2 2
63 50 1225 2 uniform2 1 306 5000 0.342 98 2 2 2 3
64 50 1225 2 uniform2 1 371 5000 0.382 98 2 1 2 4
65 50 1225 2 uniform2 1 356 5000 0.37 98 1 2 1 5
66 50 1225 2 uniform2 1 251 5000 0.13 98 2 2 2 6
67 50 1225 2 uniform2 1 709 5000 0.56 98 2 2 2 7
68 50 1225 2 uniform2 1 212 5000 0.125 98 2 2 2 8
